timestamp,tick,q_stream,t2_stream,anomaly_active,predicted_regime,inventory,dynamic_barrier,ruin_probability,absorbed,round_trips_completed
2026-06-04 09:00:51.240000+00:00,61,,,False,NORMAL,15,50,0.35,False,4
2026-06-04 09:00:52.080000+00:00,62,,,False,NORMAL,16,50,0.33999999999999997,False,4
2026-06-04 09:00:52.920000+00:00,63,,,False,NORMAL,17,50,0.32999999999999996,False,4
2026-06-04 09:00:53.760000+00:00,64,,,False,NORMAL,18,50,0.31999999999999995,False,4
2026-06-04 09:00:54.600000+00:00,65,,,False,NORMAL,19,50,0.31000000000000005,False,4
2026-06-04 09:00:55.440000+00:00,66,,,False,NORMAL,18,50,0.31999999999999995,False,4
2026-06-04 09:00:56.280000+00:00,67,,,False,NORMAL,17,50,0.32999999999999996,False,4
2026-06-04 09:00:57.120000+00:00,68,,,False,NORMAL,18,50,0.31999999999999995,False,4
2026-06-04 09:00:57.960000+00:00,69,,,False,NORMAL,17,50,0.32999999999999996,False,4
2026-06-04 09:00:58.800000+00:00,70,,,False,NORMAL,16,50,0.33999999999999997,False,4
2026-06-04 09:00:59.640000+00:00,71,,,False,NORMAL,15,50,0.35,False,4
2026-06-04 09:01:00.480000+00:00,72,,,False,NORMAL,14,50,0.36,False,4
2026-06-04 09:01:01.320000+00:00,73,,,False,NORMAL,13,50,0.37,False,4
2026-06-04 09:01:02.160000+00:00,74,,,False,NORMAL,14,50,0.36,False,4
2026-06-04 09:01:03+00:00,75,,,False,NORMAL,15,50,0.35,False,4
2026-06-04 09:01:03.840000+00:00,76,,,False,NORMAL,16,50,0.33999999999999997,False,4
2026-06-04 09:01:04.680000+00:00,77,,,False,NORMAL,15,50,0.35,False,4
2026-06-04 09:01:06.360000+00:00,78,,,False,NORMAL,14,50,0.36,False,4
2026-06-04 09:01:07.200000+00:00,79,,,False,NORMAL,13,50,0.37,False,4
2026-06-04 09:01:08.040000+00:00,80,,,False,NORMAL,12,50,0.38,False,4
2026-06-04 09:01:08.880000+00:00,81,,,False,NORMAL,13,50,0.37,False,4
2026-06-04 09:01:09.720000+00:00,82,,,False,NORMAL,12,50,0.38,False,4
2026-06-04 09:01:10.560000+00:00,83,,,False,NORMAL,13,50,0.37,False,4
2026-06-04 09:01:11.400000+00:00,84,,,False,NORMAL,14,50,0.36,False,4
2026-06-04 09:01:12.240000+00:00,85,,,False,NORMAL,13,50,0.37,False,4
2026-06-04 09:01:13.080000+00:00,86,,,False,NORMAL,12,50,0.38,False,4
2026-06-04 09:01:13.920000+00:00,87,,,False,NORMAL,11,50,0.39,False,4
2026-06-04 09:01:15.600000+00:00,88,,,False,NORMAL,10,50,0.4,False,4
2026-06-04 09:01:16.440000+00:00,89,,,False,NORMAL,11,50,0.39,False,4
2026-06-04 09:01:18.120000+00:00,90,,,False,NORMAL,12,50,0.38,False,4
2026-06-04 09:01:18.960000+00:00,91,,,False,NORMAL,13,50,0.37,False,4
2026-06-04 09:01:19.800000+00:00,92,,,False,NORMAL,14,50,0.36,False,4
2026-06-04 09:01:20.640000+00:00,93,,,False,NORMAL,15,50,0.35,False,4
2026-06-04 09:01:21.480000+00:00,94,,,False,NORMAL,14,50,0.36,False,4
2026-06-04 09:01:22.320000+00:00,95,,,False,NORMAL,15,50,0.35,False,4
2026-06-04 09:01:23.160000+00:00,96,,,False,NORMAL,16,50,0.33999999999999997,False,4
2026-06-04 09:01:24+00:00,97,,,False,NORMAL,15,50,0.35,False,4
2026-06-04 09:01:24.840000+00:00,98,,,False,NORMAL,16,50,0.33999999999999997,False,4
2026-06-04 09:01:25.680000+00:00,99,,,False,NORMAL,17,50,0.32999999999999996,False,4
2026-06-04 09:01:26.520000+00:00,100,,,False,NORMAL,18,50,0.31999999999999995,False,4
2026-06-04 09:01:27.360000+00:00,101,,,False,NORMAL,17,50,0.32999999999999996,False,4
2026-06-04 09:01:28.200000+00:00,102,,,False,NORMAL,16,50,0.33999999999999997,False,4
2026-06-04 09:01:29.040000+00:00,103,,,False,NORMAL,17,50,0.32999999999999996,False,4
2026-06-04 09:01:29.880000+00:00,104,,,False,NORMAL,16,50,0.33999999999999997,False,4
2026-06-04 09:01:30.720000+00:00,105,,,False,NORMAL,15,50,0.35,False,4
2026-06-04 09:01:31.560000+00:00,106,,,False,NORMAL,16,50,0.33999999999999997,False,4
2026-06-04 09:01:32.400000+00:00,107,,,False,NORMAL,15,50,0.35,False,4
2026-06-04 09:01:33.240000+00:00,108,,,False,NORMAL,16,50,0.33999999999999997,False,4
2026-06-04 09:01:34.080000+00:00,109,,,False,NORMAL,17,50,0.32999999999999996,False,4
2026-06-04 09:01:34.920000+00:00,110,,,False,NORMAL,18,50,0.31999999999999995,False,4
2026-06-04 09:01:35.760000+00:00,111,,,False,NORMAL,19,50,0.31000000000000005,False,4
2026-06-04 09:01:36.600000+00:00,112,,,False,NORMAL,18,50,0.31999999999999995,False,4
2026-06-04 09:01:37.440000+00:00,113,,,False,NORMAL,19,50,0.31000000000000005,False,4
2026-06-04 09:01:38.280000+00:00,114,,,False,NORMAL,20,50,0.30000000000000004,False,4
2026-06-04 09:01:39.960000+00:00,115,,,False,NORMAL,19,50,0.31000000000000005,False,4
2026-06-04 09:01:40.800000+00:00,116,,,False,NORMAL,20,50,0.30000000000000004,False,4
2026-06-04 09:01:41.640000+00:00,117,,,False,NORMAL,19,50,0.31000000000000005,False,4
2026-06-04 09:01:42.480000+00:00,118,,,False,NORMAL,20,50,0.30000000000000004,False,4
2026-06-04 09:01:43.320000+00:00,119,,,False,NORMAL,21,50,0.29000000000000004,False,4
2026-06-04 09:01:44.160000+00:00,120,,,False,NORMAL,22,50,0.28,False,4
2026-06-04 09:01:45+00:00,121,,,False,NORMAL,21,50,0.29000000000000004,False,4
2026-06-04 09:01:45.840000+00:00,122,,,False,NORMAL,22,50,0.28,False,4
2026-06-04 09:01:46.680000+00:00,123,,,False,NORMAL,23,50,0.27,False,4
2026-06-04 09:01:47.520000+00:00,124,,,False,NORMAL,24,50,0.26,False,4
2026-06-04 09:01:48.360000+00:00,125,,,False,NORMAL,23,50,0.27,False,4
2026-06-04 09:01:49.200000+00:00,126,,,False,NORMAL,22,50,0.28,False,4
2026-06-04 09:01:50.040000+00:00,127,,,False,NORMAL,23,50,0.27,False,4
2026-06-04 09:01:50.880000+00:00,128,,,False,NORMAL,22,50,0.28,False,4
2026-06-04 09:01:51.720000+00:00,129,,,False,NORMAL,21,50,0.29000000000000004,False,4
2026-06-04 09:01:52.560000+00:00,130,,,False,NORMAL,22,50,0.28,False,4
2026-06-04 09:01:53.400000+00:00,131,,,False,NORMAL,23,50,0.27,False,4
2026-06-04 09:01:54.240000+00:00,132,,,False,NORMAL,22,50,0.28,False,4
2026-06-04 09:01:55.080000+00:00,133,,,False,NORMAL,21,50,0.29000000000000004,False,4
2026-06-04 09:01:56.760000+00:00,134,,,False,NORMAL,20,50,0.30000000000000004,False,4
